"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","519,476","±9,889","519,476","(X)","55,392","±2,729","55,392","(X)","497,160","±7,981","497,160","(X)","316,834","±6,924","316,834","(X)","1,743,661","±13,811","1,743,661","(X)","329,649","±5,816","329,649","(X)","263,133","±5,317","263,133","(X)","72,113","±2,890","72,113","(X)","23,218","±2,111","23,218","(X)","1,797,879","±17,005","1,797,879","(X)","675,799","±11,988","675,799","(X)","80,462","±3,247","80,462","(X)","127,118","±4,504","127,118","(X)","1,011,778","±11,122","1,011,778","(X)","545,281","±8,131","545,281","(X)","334,039","±6,120","334,039","(X)","275,025","±4,875","275,025","(X)","442,404","±6,916","442,404","(X)","495,062","±7,636","495,062","(X)","141,125","±3,580","141,125","(X)","351,836","±6,497","351,836","(X)","444,054","±9,858","444,054","(X)","974,017","±11,288","974,017","(X)","468,726","±6,199","468,726","(X)","344,501","±7,471","344,501","(X)","564,847","±9,409","564,847","(X)","114,280","±3,252","114,280","(X)","178,027","±4,145","178,027","(X)","153,402","±4,672","153,402","(X)","114,681","±3,287","114,681","(X)","614,845","±8,681","614,845","(X)","211,194","±4,909","211,194","(X)","1,366,216","±12,850","1,366,216","(X)","818,431","±11,286","818,431","(X)","87,123","±2,595","87,123","(X)","1,017,587","±10,831","1,017,587","(X)","399,647","±5,245","399,647","(X)","292,962","±6,610","292,962","(X)","1,281,534","±11,521","1,281,534","(X)","69,696","±3,072","69,696","(X)","463,962","±8,562","463,962","(X)","91,850","±2,351","91,850","(X)","624,086","±9,198","624,086","(X)","2,146,419","±19,954","2,146,419","(X)","167,242","±4,727","167,242","(X)","62,755","±2,454","62,755","(X)","568,143","±9,636","568,143","(X)","474,983","±8,025","474,983","(X)","272,689","±5,338","272,689","(X)","512,277","±6,670","512,277","(X)","65,167","±2,715","65,167","(X)","475,383","±7,366","475,383","(X)"
"    Less than 10.0 percent","238,271","±6,410","45.9%","±0.9","25,284","±2,050","45.6%","±2.9","232,000","±6,604","46.7%","±1.1","149,920","±5,355","47.3%","±1.3","763,511","±10,085","43.8%","±0.5","163,428","±4,907","49.6%","±1.2","68,746","±3,485","26.1%","±1.1","33,390","±2,412","46.3%","±2.5","11,864","±1,479","51.1%","±4.6","668,472","±11,301","37.2%","±0.5","298,877","±8,434","44.2%","±0.9","40,242","±2,543","50.0%","±2.4","65,241","±3,587","51.3%","±1.8","347,576","±7,377","34.4%","±0.6","260,226","±5,797","47.7%","±0.8","145,860","±4,199","43.7%","±0.9","116,445","±3,602","42.3%","±1.1","212,879","±5,277","48.1%","±1.0","262,363","±6,152","53.0%","±0.9","50,222","±2,236","35.6%","±1.3","143,499","±4,760","40.8%","±1.1","137,754","±5,643","31.0%","±1.0","351,561","±6,844","36.1%","±0.6","209,969","±3,768","44.8%","±0.7","149,369","±5,245","43.4%","±1.2","238,400","±6,265","42.2%","±0.8","49,964","±2,538","43.7%","±1.6","73,433","±3,171","41.2%","±1.5","73,098","±3,563","47.7%","±1.6","28,981","±1,947","25.3%","±1.5","131,343","±4,647","21.4%","±0.7","107,650","±4,322","51.0%","±1.6","421,464","±8,210","30.8%","±0.5","352,823","±7,735","43.1%","±0.8","46,991","±2,061","53.9%","±1.7","401,802","±7,869","39.5%","±0.6","188,346","±4,188","47.1%","±0.9","113,869","±4,746","38.9%","±1.2","456,811","±8,336","35.6%","±0.5","18,660","±1,874","26.8%","±2.4","210,714","±6,091","45.4%","±1.0","44,089","±2,244","48.0%","±2.0","295,693","±6,983","47.4%","±0.9","912,710","±13,415","42.5%","±0.4","94,514","±3,619","56.5%","±1.4","14,714","±1,259","23.4%","±1.7","270,652","±6,222","47.6%","±0.9","198,197","±6,171","41.7%","±1.1","143,613","±4,461","52.7%","±1.3","175,595","±4,436","34.3%","±0.7","34,539","±2,252","53.0%","±2.7","225,464","±6,354","47.4%","±1.1"
"    10.0 to 14.9 percent","102,007","±4,841","19.6%","±0.8","9,547","±1,208","17.2%","±2.0","90,466","±4,799","18.2%","±0.9","65,133","±3,356","20.6%","±1.0","324,850","±6,958","18.6%","±0.4","59,593","±2,768","18.1%","±0.8","52,132","±3,084","19.8%","±1.1","14,064","±1,571","19.5%","±2.0","4,029","±863","17.4%","±3.5","356,693","±8,286","19.8%","±0.4","135,390","±5,373","20.0%","±0.7","14,010","±1,431","17.4%","±1.7","23,618","±1,977","18.6%","±1.5","220,285","±5,897","21.8%","±0.5","110,998","±4,257","20.4%","±0.7","70,209","±2,996","21.0%","±0.8","58,870","±2,931","21.4%","±1.0","84,979","±3,466","19.2%","±0.7","86,093","±3,849","17.4%","±0.7","27,959","±1,880","19.8%","±1.2","69,244","±2,948","19.7%","±0.8","85,336","±3,976","19.2%","±0.8","205,336","±5,425","21.1%","±0.5","92,573","±2,942","19.7%","±0.6","68,249","±3,719","19.8%","±1.0","123,141","±4,799","21.8%","±0.7","22,345","±1,638","19.6%","±1.4","39,800","±2,243","22.4%","±1.1","27,520","±2,073","17.9%","±1.3","22,939","±1,865","20.0%","±1.5","111,602","±4,092","18.2%","±0.6","35,696","±2,961","16.9%","±1.3","257,888","±7,135","18.9%","±0.5","164,320","±5,279","20.1%","±0.6","16,590","±1,455","19.0%","±1.5","219,929","±6,330","21.6%","±0.6","81,027","±3,048","20.3%","±0.7","61,286","±3,179","20.9%","±1.0","262,493","±5,951","20.5%","±0.5","13,649","±1,643","19.6%","±2.2","91,831","±3,737","19.8%","±0.8","18,727","±1,508","20.4%","±1.5","120,684","±4,810","19.3%","±0.7","442,765","±9,523","20.6%","±0.4","28,224","±2,041","16.9%","±1.1","13,087","±1,244","20.9%","±1.8","110,298","±4,708","19.4%","±0.7","94,398","±4,123","19.9%","±0.8","53,426","±2,718","19.6%","±1.0","112,725","±3,148","22.0%","±0.6","10,820","±1,370","16.6%","±1.9","94,233","±4,455","19.8%","±0.9"
"    15.0 to 19.9 percent","54,977","±3,396","10.6%","±0.6","7,382","±1,080","13.3%","±1.9","57,589","±3,158","11.6%","±0.6","35,244","±2,696","11.1%","±0.8","190,764","±5,952","10.9%","±0.3","32,848","±2,434","10.0%","±0.7","35,861","±2,343","13.6%","±0.9","6,947","±990","9.6%","±1.4","2,206","±629","9.5%","±2.6","222,024","±6,519","12.3%","±0.4","73,642","±4,064","10.9%","±0.6","7,757","±1,184","9.6%","±1.4","14,715","±1,571","11.6%","±1.1","133,516","±4,131","13.2%","±0.4","60,506","±2,870","11.1%","±0.5","40,900","±2,404","12.2%","±0.7","36,708","±2,562","13.3%","±0.9","47,642","±2,846","10.8%","±0.6","49,829","±2,907","10.1%","±0.6","18,843","±1,655","13.4%","±1.1","42,087","±2,547","12.0%","±0.7","57,437","±3,105","12.9%","±0.7","123,597","±4,447","12.7%","±0.4","53,574","±2,297","11.4%","±0.5","39,079","±2,911","11.3%","±0.8","70,374","±3,577","12.5%","±0.6","14,025","±1,363","12.3%","±1.2","22,857","±1,754","12.8%","±1.0","16,500","±1,757","10.8%","±1.1","16,208","±1,743","14.1%","±1.5","88,437","±3,974","14.4%","±0.6","21,876","±2,201","10.4%","±1.0","176,920","±5,412","12.9%","±0.4","97,425","±4,464","11.9%","±0.5","8,106","±1,041","9.3%","±1.2","132,866","±4,769","13.1%","±0.5","45,150","±2,428","11.3%","±0.6","36,277","±2,339","12.4%","±0.8","167,719","±5,179","13.1%","±0.4","10,473","±1,284","15.0%","±1.8","52,678","±3,243","11.4%","±0.7","10,404","±1,226","11.3%","±1.3","69,338","±3,568","11.1%","±0.5","255,184","±6,949","11.9%","±0.3","15,053","±1,432","9.0%","±0.8","9,716","±1,188","15.5%","±1.7","60,304","±3,350","10.6%","±0.6","60,024","±3,150","12.6%","±0.6","25,453","±2,203","9.3%","±0.8","69,165","±2,546","13.5%","±0.5","6,313","±1,004","9.7%","±1.6","46,720","±3,095","9.8%","±0.6"
"    20.0 to 24.9 percent","36,670","±2,843","7.1%","±0.5","2,976","±606","5.4%","±1.1","32,948","±2,472","6.6%","±0.5","20,954","±1,921","6.6%","±0.6","117,005","±5,180","6.7%","±0.3","21,103","±1,776","6.4%","±0.5","25,370","±2,026","9.6%","±0.7","5,114","±966","7.1%","±1.3","619","±314","2.7%","±1.3","140,900","±4,819","7.8%","±0.3","49,275","±3,268","7.3%","±0.5","5,074","±885","6.3%","±1.1","6,689","±999","5.3%","±0.8","86,254","±3,821","8.5%","±0.4","32,882","±2,039","6.0%","±0.4","25,685","±2,017","7.7%","±0.6","19,532","±1,822","7.1%","±0.6","29,477","±2,333","6.7%","±0.5","28,897","±2,153","5.8%","±0.4","11,988","±1,104","8.5%","±0.8","24,733","±2,011","7.0%","±0.6","39,100","±2,734","8.8%","±0.6","82,123","±3,222","8.4%","±0.3","30,890","±1,805","6.6%","±0.4","23,554","±2,299","6.8%","±0.6","37,049","±2,078","6.6%","±0.4","7,932","±1,061","6.9%","±0.9","13,620","±1,392","7.7%","±0.7","8,608","±1,211","5.6%","±0.8","12,684","±1,207","11.1%","±1.0","65,154","±3,131","10.6%","±0.5","13,344","±1,660","6.3%","±0.8","116,076","±4,129","8.5%","±0.3","59,144","±3,755","7.2%","±0.4","4,784","±806","5.5%","±0.9","81,294","±4,042","8.0%","±0.4","24,930","±1,553","6.2%","±0.4","22,967","±1,858","7.8%","±0.6","112,806","±4,382","8.8%","±0.3","7,354","±1,100","10.6%","±1.6","30,027","±2,588","6.5%","±0.5","5,928","±815","6.5%","±0.9","39,708","±2,497","6.4%","±0.4","150,630","±5,783","7.0%","±0.3","7,744","±975","4.6%","±0.6","6,271","±969","10.0%","±1.5","35,910","±2,684","6.3%","±0.5","33,458","±2,314","7.0%","±0.5","16,789","±1,765","6.2%","±0.6","45,215","±2,639","8.8%","±0.5","4,324","±1,044","6.6%","±1.5","27,203","±2,257","5.7%","±0.5"
"    25.0 to 29.9 percent","22,395","±2,153","4.3%","±0.4","2,092","±475","3.8%","±0.8","21,887","±2,171","4.4%","±0.4","12,768","±1,410","4.0%","±0.4","80,740","±3,755","4.6%","±0.2","14,343","±1,501","4.4%","±0.4","18,007","±1,716","6.8%","±0.6","2,739","±713","3.8%","±1.0","870","±471","3.7%","±1.9","98,263","±4,604","5.5%","±0.2","30,487","±2,589","4.5%","±0.4","2,681","±696","3.3%","±0.9","3,817","±781","3.0%","±0.6","57,780","±3,336","5.7%","±0.3","21,612","±1,810","4.0%","±0.3","14,851","±1,484","4.4%","±0.4","12,220","±1,292","4.4%","±0.5","18,607","±1,589","4.2%","±0.3","16,423","±1,582","3.3%","±0.3","8,569","±1,154","6.1%","±0.8","16,374","±1,787","4.7%","±0.5","26,497","±2,191","6.0%","±0.5","53,664","±2,634","5.5%","±0.3","20,502","±1,523","4.4%","±0.3","16,401","±1,695","4.8%","±0.5","26,382","±2,247","4.7%","±0.4","6,215","±918","5.4%","±0.8","8,056","±1,094","4.5%","±0.6","8,375","±1,696","5.5%","±1.0","8,310","±1,268","7.2%","±1.1","43,365","±2,935","7.1%","±0.5","7,629","±1,414","3.6%","±0.7","84,285","±3,977","6.2%","±0.3","36,984","±3,066","4.5%","±0.4","3,264","±621","3.7%","±0.7","52,624","±2,692","5.2%","±0.3","16,512","±1,400","4.1%","±0.3","16,337","±1,663","5.6%","±0.6","73,569","±3,193","5.7%","±0.3","4,498","±1,046","6.5%","±1.4","20,807","±1,873","4.5%","±0.4","3,820","±568","4.2%","±0.6","25,097","±2,061","4.0%","±0.3","100,088","±3,932","4.7%","±0.2","5,873","±944","3.5%","±0.6","3,989","±669","6.4%","±1.1","22,155","±1,774","3.9%","±0.3","23,358","±1,807","4.9%","±0.4","8,880","±1,289","3.3%","±0.5","29,180","±1,941","5.7%","±0.4","1,995","±607","3.1%","±0.9","19,089","±2,052","4.0%","±0.4"
"    30.0 to 34.9 percent","14,136","±1,624","2.7%","±0.3","2,310","±848","4.2%","±1.5","14,007","±1,609","2.8%","±0.3","6,583","±1,058","2.1%","±0.3","54,280","±3,217","3.1%","±0.2","7,467","±1,215","2.3%","±0.4","12,758","±1,632","4.8%","±0.6","2,251","±709","3.1%","±1.0","629","±322","2.7%","±1.4","69,821","±3,762","3.9%","±0.2","20,369","±2,082","3.0%","±0.3","2,431","±600","3.0%","±0.7","2,859","±725","2.2%","±0.6","38,374","±2,885","3.8%","±0.3","14,711","±1,585","2.7%","±0.3","9,367","±1,130","2.8%","±0.3","7,727","±1,061","2.8%","±0.4","11,219","±1,312","2.5%","±0.3","12,873","±1,953","2.6%","±0.4","6,074","±855","4.3%","±0.6","12,268","±1,241","3.5%","±0.4","23,210","±2,436","5.2%","±0.5","36,010","±2,141","3.7%","±0.2","14,595","±1,355","3.1%","±0.3","10,652","±1,659","3.1%","±0.5","17,009","±2,019","3.0%","±0.3","2,561","±605","2.2%","±0.5","4,961","±720","2.8%","±0.4","3,830","±765","2.5%","±0.5","6,063","±1,115","5.3%","±0.9","32,071","±2,368","5.2%","±0.4","6,654","±1,242","3.2%","±0.6","59,259","±2,756","4.3%","±0.2","25,282","±2,032","3.1%","±0.2","1,429","±327","1.6%","±0.4","34,053","±2,281","3.3%","±0.2","11,261","±1,176","2.8%","±0.3","9,008","±1,126","3.1%","±0.4","49,040","±2,508","3.8%","±0.2","3,090","±742","4.4%","±1.1","15,419","±1,766","3.3%","±0.4","2,068","±482","2.3%","±0.5","16,976","±1,831","2.7%","±0.3","65,184","±3,939","3.0%","±0.2","3,864","±725","2.3%","±0.4","2,991","±589","4.8%","±0.9","15,748","±1,644","2.8%","±0.3","14,546","±1,554","3.1%","±0.3","6,203","±1,091","2.3%","±0.4","21,050","±1,737","4.1%","±0.3","2,237","±709","3.4%","±1.1","11,719","±1,486","2.5%","±0.3"
"    35.0 percent or more","51,020","±3,043","9.8%","±0.6","5,801","±936","10.5%","±1.6","48,263","±3,139","9.7%","±0.6","26,232","±1,948","8.3%","±0.6","212,511","±6,672","12.2%","±0.4","30,867","±2,625","9.4%","±0.8","50,259","±3,028","19.1%","±1.1","7,608","±987","10.6%","±1.4","3,001","±779","12.9%","±3.0","241,706","±7,604","13.4%","±0.4","67,759","±3,729","10.0%","±0.6","8,267","±1,454","10.3%","±1.7","10,179","±1,555","8.0%","±1.2","127,993","±4,187","12.7%","±0.4","44,346","±3,353","8.1%","±0.6","27,167","±1,587","8.1%","±0.5","23,523","±1,737","8.6%","±0.6","37,601","±2,948","8.5%","±0.6","38,584","±2,869","7.8%","±0.5","17,470","±1,445","12.4%","±1.0","43,631","±2,558","12.4%","±0.7","74,720","±4,227","16.8%","±0.8","121,726","±3,814","12.5%","±0.4","46,623","±2,595","9.9%","±0.5","37,197","±2,879","10.8%","±0.7","52,492","±3,029","9.3%","±0.5","11,238","±1,300","9.8%","±1.1","15,300","±1,343","8.6%","±0.7","15,471","±1,762","10.1%","±1.1","19,496","±1,952","17.0%","±1.6","142,873","±4,939","23.2%","±0.7","18,345","±1,926","8.7%","±0.9","250,324","±6,366","18.3%","±0.5","82,453","±3,974","10.1%","±0.4","5,959","±931","6.8%","±1.0","95,019","±4,410","9.3%","±0.4","32,421","±1,981","8.1%","±0.5","33,218","±2,231","11.3%","±0.7","159,096","±4,682","12.4%","±0.4","11,972","±1,510","17.2%","±2.0","42,486","±2,687","9.2%","±0.6","6,814","±862","7.4%","±0.9","56,590","±3,340","9.1%","±0.5","219,858","±6,465","10.2%","±0.3","11,970","±1,361","7.2%","±0.8","11,987","±1,025","19.1%","±1.5","53,076","±3,664","9.3%","±0.6","51,002","±3,128","10.7%","±0.6","18,325","±1,980","6.7%","±0.7","59,347","±2,773","11.6%","±0.5","4,939","±1,086","7.6%","±1.6","50,955","±3,387","10.7%","±0.7"
"    Not computed","9,148","±1,552","(X)","(X)","97","±73","(X)","(X)","8,810","±1,390","(X)","(X)","4,066","±874","(X)","(X)","24,562","±2,681","(X)","(X)","3,470","±887","(X)","(X)","2,717","±685","(X)","(X)","873","±361","(X)","(X)","359","±275","(X)","(X)","37,833","±2,969","(X)","(X)","12,323","±1,554","(X)","(X)","1,509","±554","(X)","(X)","1,175","±475","(X)","(X)","11,817","±1,527","(X)","(X)","5,311","±845","(X)","(X)","2,763","±590","(X)","(X)","2,224","±563","(X)","(X)","5,689","±902","(X)","(X)","8,251","±1,356","(X)","(X)","2,024","±514","(X)","(X)","4,198","±923","(X)","(X)","4,080","±996","(X)","(X)","13,178","±1,340","(X)","(X)","3,674","±604","(X)","(X)","5,513","±1,234","(X)","(X)","5,795","±1,002","(X)","(X)","1,058","±353","(X)","(X)","1,514","±429","(X)","(X)","3,070","±896","(X)","(X)","1,019","±432","(X)","(X)","6,826","±1,208","(X)","(X)","4,372","±918","(X)","(X)","16,776","±1,934","(X)","(X)","11,710","±1,696","(X)","(X)","811","±242","(X)","(X)","10,956","±1,449","(X)","(X)","5,819","±960","(X)","(X)","2,823","±762","(X)","(X)","12,716","±1,337","(X)","(X)","963","±558","(X)","(X)","9,710","±1,262","(X)","(X)","773","±297","(X)","(X)","6,833","±1,267","(X)","(X)","28,053","±2,232","(X)","(X)","1,839","±610","(X)","(X)","420","±207","(X)","(X)","5,878","±940","(X)","(X)","5,551","±1,115","(X)","(X)","3,110","±917","(X)","(X)","4,735","±774","(X)","(X)","418","±254","(X)","(X)","29,070","±2,096","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","510,756","±9,708","510,756","(X)","86,687","±3,379","86,687","(X)","856,506","±12,717","856,506","(X)","347,234","±6,882","347,234","(X)","5,593,677","±26,085","5,593,677","(X)","693,762","±9,655","693,762","(X)","430,621","±8,583","430,621","(X)","95,026","±4,125","95,026","(X)","152,845","±4,814","152,845","(X)","2,353,001","±22,182","2,353,001","(X)","1,199,599","±16,251","1,199,599","(X)","179,409","±3,944","179,409","(X)","172,082","±6,051","172,082","(X)","1,519,883","±15,942","1,519,883","(X)","719,233","±12,078","719,233","(X)","323,489","±7,763","323,489","(X)","350,761","±6,548","350,761","(X)","509,045","±7,776","509,045","(X)","527,568","±11,369","527,568","(X)","146,751","±4,251","146,751","(X)","699,266","±9,573","699,266","(X)","919,291","±10,799","919,291","(X)","1,044,542","±13,840","1,044,542","(X)","574,365","±9,048","574,365","(X)","298,549","±8,571","298,549","(X)","715,241","±11,681","715,241","(X)","122,509","±4,097","122,509","(X)","231,912","±5,262","231,912","(X)","438,537","±7,814","438,537","(X)","144,882","±5,536","144,882","(X)","1,080,817","±12,619","1,080,817","(X)","228,984","±6,805","228,984","(X)","3,238,859","±20,537","3,238,859","(X)","1,194,189","±14,186","1,194,189","(X)","93,671","±3,991","93,671","(X)","1,454,504","±11,496","1,454,504","(X)","442,579","±5,894","442,579","(X)","555,909","±9,237","555,909","(X)","1,452,194","±11,717","1,452,194","(X)","160,588","±4,481","160,588","(X)","516,387","±8,921","516,387","(X)","96,921","±4,136","96,921","(X)","754,900","±11,651","754,900","(X)","3,193,169","±21,151","3,193,169","(X)","259,174","±6,097","259,174","(X)","69,963","±2,944","69,963","(X)","969,687","±12,047","969,687","(X)","954,331","±12,872","954,331","(X)","174,700","±4,675","174,700","(X)","718,608","±9,622","718,608","(X)","62,166","±3,284","62,166","(X)","238,971","±6,872","238,971","(X)"
"    Less than $200","14,526","±1,740","2.8%","±0.3","657","±254","0.8%","±0.3","11,172","±1,844","1.3%","±0.2","10,074","±1,550","2.9%","±0.5","40,485","±3,136","0.7%","±0.1","10,613","±1,557","1.5%","±0.2","8,591","±1,403","2.0%","±0.3","1,319","±604","1.4%","±0.6","5,495","±1,085","3.6%","±0.7","29,007","±2,799","1.2%","±0.1","22,653","±2,457","1.9%","±0.2","2,331","±661","1.3%","±0.4","2,393","±764","1.4%","±0.4","34,202","±3,113","2.3%","±0.2","18,335","±1,871","2.5%","±0.3","6,958","±1,179","2.2%","±0.4","6,350","±1,012","1.8%","±0.3","20,239","±2,107","4.0%","±0.4","13,227","±1,642","2.5%","±0.3","4,682","±906","3.2%","±0.6","14,552","±1,646","2.1%","±0.2","24,544","±2,597","2.7%","±0.3","23,403","±2,004","2.2%","±0.2","16,320","±2,176","2.8%","±0.4","11,839","±1,713","4.0%","±0.6","14,146","±1,782","2.0%","±0.3","5,311","±1,041","4.3%","±0.8","5,043","±878","2.2%","±0.4","2,477","±733","0.6%","±0.2","2,255","±944","1.6%","±0.6","17,528","±1,873","1.6%","±0.2","4,823","±1,120","2.1%","±0.5","41,634","±3,596","1.3%","±0.1","24,877","±2,496","2.1%","±0.2","2,960","±772","3.2%","±0.8","47,796","±2,967","3.3%","±0.2","8,579","±1,040","1.9%","±0.2","8,858","±1,508","1.6%","±0.3","37,081","±2,926","2.6%","±0.2","4,615","±944","2.9%","±0.6","10,740","±1,362","2.1%","±0.3","3,491","±714","3.6%","±0.8","22,896","±2,107","3.0%","±0.3","48,799","±4,425","1.5%","±0.1","4,034","±871","1.6%","±0.3","796","±455","1.1%","±0.6","18,987","±2,011","2.0%","±0.2","13,660","±1,781","1.4%","±0.2","7,044","±1,299","4.0%","±0.7","8,657","±1,407","1.2%","±0.2","777","±366","1.2%","±0.6","42,880","±3,234","17.9%","±1.3"
"    $200 to $299","27,661","±2,039","5.4%","±0.4","910","±344","1.0%","±0.4","12,402","±1,726","1.4%","±0.2","17,416","±1,765","5.0%","±0.5","113,418","±5,065","2.0%","±0.1","17,128","±1,929","2.5%","±0.3","16,079","±1,659","3.7%","±0.4","3,078","±932","3.2%","±1.0","4,832","±1,038","3.2%","±0.7","43,893","±3,344","1.9%","±0.1","31,016","±3,012","2.6%","±0.3","3,175","±769","1.8%","±0.4","6,281","±1,178","3.7%","±0.7","50,849","±3,410","3.3%","±0.2","24,685","±2,312","3.4%","±0.3","13,396","±1,579","4.1%","±0.5","12,199","±1,499","3.5%","±0.4","26,035","±2,180","5.1%","±0.4","22,599","±2,579","4.3%","±0.5","9,233","±1,176","6.3%","±0.8","20,020","±2,108","2.9%","±0.3","54,461","±3,066","5.9%","±0.3","39,953","±2,772","3.8%","±0.3","27,539","±1,940","4.8%","±0.3","19,311","±2,501","6.5%","±0.8","29,048","±2,082","4.1%","±0.3","5,459","±1,225","4.5%","±1.0","9,214","±1,364","4.0%","±0.6","4,232","±912","1.0%","±0.2","5,552","±1,174","3.8%","±0.8","33,718","±2,659","3.1%","±0.3","7,713","±1,492","3.4%","±0.6","142,658","±5,698","4.4%","±0.2","37,939","±2,896","3.2%","±0.2","3,582","±640","3.8%","±0.7","58,224","±2,808","4.0%","±0.2","19,224","±1,745","4.3%","±0.4","14,806","±1,952","2.7%","±0.4","60,074","±3,154","4.1%","±0.2","12,005","±1,546","7.5%","±0.9","18,285","±2,064","3.5%","±0.4","5,611","±950","5.8%","±1.0","28,245","±2,740","3.7%","±0.4","70,551","±5,227","2.2%","±0.2","5,321","±1,042","2.1%","±0.4","3,454","±795","4.9%","±1.1","22,260","±2,529","2.3%","±0.3","23,310","±2,524","2.4%","±0.3","10,695","±1,429","6.1%","±0.8","26,273","±2,092","3.7%","±0.3","1,762","±660","2.8%","±1.1","23,087","±2,304","9.7%","±0.9"
"    $300 to $499","83,128","±3,744","16.3%","±0.7","4,844","±950","5.6%","±1.0","56,363","±3,526","6.6%","±0.4","62,305","±4,338","17.9%","±1.1","192,791","±7,492","3.4%","±0.1","35,364","±3,049","5.1%","±0.4","25,749","±2,254","6.0%","±0.6","5,739","±1,171","6.0%","±1.3","6,876","±1,259","4.5%","±0.8","104,652","±5,562","4.4%","±0.2","99,744","±5,391","8.3%","±0.4","5,966","±1,174","3.3%","±0.7","23,553","±2,319","13.7%","±1.3","118,602","±4,746","7.8%","±0.3","87,503","±4,140","12.2%","±0.6","57,911","±3,248","17.9%","±0.9","51,120","±3,190","14.6%","±0.9","93,700","±3,835","18.4%","±0.7","68,098","±4,064","12.9%","±0.7","12,568","±1,398","8.6%","±0.9","28,017","±2,054","4.0%","±0.3","73,268","±3,777","8.0%","±0.4","113,447","±4,973","10.9%","±0.4","55,824","±3,255","9.7%","±0.5","52,106","±3,376","17.5%","±1.1","103,747","±4,687","14.5%","±0.6","19,949","±2,239","16.3%","±1.8","35,626","±2,347","15.4%","±1.0","17,266","±1,837","3.9%","±0.4","6,975","±1,460","4.8%","±1.0","42,477","±2,794","3.9%","±0.2","30,106","±3,059","13.1%","±1.2","224,627","±8,298","6.9%","±0.3","126,053","±5,769","10.6%","±0.5","15,953","±2,030","17.0%","±1.9","194,948","±6,189","13.4%","±0.4","64,923","±2,979","14.7%","±0.6","36,419","±3,207","6.6%","±0.6","152,018","±6,005","10.5%","±0.4","11,584","±1,840","7.2%","±1.2","58,647","±3,762","11.4%","±0.7","19,517","±1,737","20.1%","±1.9","91,793","±5,142","12.2%","±0.6","235,531","±7,440","7.4%","±0.2","17,295","±1,765","6.7%","±0.7","5,410","±1,069","7.7%","±1.5","57,594","±3,603","5.9%","±0.4","54,365","±4,138","5.7%","±0.4","40,421","±2,771","23.1%","±1.5","76,754","±3,297","10.7%","±0.5","7,668","±1,298","12.3%","±2.0","71,695","±4,123","30.0%","±1.4"
