"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    20.0 to 24.9 percent","117,330","±5,642","15.3%","±0.7","20,444","±2,129","18.2%","±1.8","164,025","±6,760","15.5%","±0.6","66,293","±3,881","15.4%","±0.8","688,625","±12,204","13.4%","±0.2","158,503","±5,184","16.4%","±0.5","109,784","±4,313","16.7%","±0.6","29,663","±2,173","17.4%","±1.2","12,038","±1,552","14.7%","±1.9","417,937","±10,213","13.8%","±0.3","259,165","±8,125","15.9%","±0.5","23,738","±2,510","13.6%","±1.4","44,604","±3,185","16.2%","±1.2","354,186","±8,004","16.0%","±0.3","203,175","±6,221","16.7%","±0.5","100,497","±3,952","18.2%","±0.7","88,363","±4,230","18.5%","±0.8","115,817","±5,797","16.2%","±0.8","91,829","±4,378","14.5%","±0.7","43,728","±2,650","17.0%","±1.0","180,384","±6,176","16.6%","±0.6","183,682","±5,654","16.3%","±0.5","301,699","±6,545","16.6%","±0.3","192,544","±5,624","17.9%","±0.5","60,117","±3,538","14.7%","±0.8","178,289","±6,390","16.7%","±0.6","25,059","±2,022","15.2%","±1.2","55,509","±3,355","18.0%","±1.0","64,588","±3,743","15.2%","±0.9","43,251","±2,800","16.9%","±1.0","229,638","±5,899","15.4%","±0.4","43,144","±3,305","13.7%","±1.0","371,170","±8,187","14.7%","±0.3","275,144","±7,552","16.7%","±0.4","17,617","±1,748","17.6%","±1.6","367,725","±9,845","17.6%","±0.4","96,087","±3,918","16.5%","±0.6","102,259","±4,617","15.6%","±0.7","359,997","±8,615","16.7%","±0.4","28,024","±2,124","15.8%","±1.1","119,016","±5,670","15.7%","±0.7","25,203","±2,297","19.9%","±1.7","177,460","±7,038","17.1%","±0.6","590,284","±11,103","17.1%","±0.3","79,102","±4,189","17.4%","±0.9","23,008","±1,952","19.1%","±1.5","236,611","±8,215","16.3%","±0.5","192,113","±6,410","16.2%","±0.5","40,474","±3,088","14.8%","±1.1","197,432","±5,759","18.6%","±0.5","16,012","±1,915","17.1%","±1.9","52,573","±3,454","14.7%","±0.9"
"    25.0 to 29.9 percent","86,584","±4,877","11.3%","±0.6","13,067","±1,920","11.6%","±1.7","132,824","±6,540","12.6%","±0.6","50,855","±3,473","11.8%","±0.8","639,853","±12,404","12.4%","±0.2","126,315","±6,008","13.0%","±0.6","88,766","±4,254","13.5%","±0.6","20,298","±1,912","11.9%","±1.1","11,187","±1,541","13.6%","±1.9","361,399","±10,598","11.9%","±0.3","201,402","±6,929","12.4%","±0.4","21,033","±2,223","12.1%","±1.3","33,699","±3,128","12.3%","±1.1","273,443","±7,957","12.3%","±0.4","135,933","±5,793","11.2%","±0.5","63,791","±3,956","11.6%","±0.7","55,603","±3,770","11.6%","±0.7","77,515","±3,985","10.8%","±0.5","63,135","±3,766","10.0%","±0.6","33,299","±2,892","12.9%","±1.1","139,599","±6,178","12.8%","±0.5","157,192","±6,294","14.0%","±0.5","222,025","±5,817","12.2%","±0.3","143,574","±4,590","13.4%","±0.4","41,647","±3,818","10.2%","±0.9","124,975","±5,126","11.7%","±0.5","18,531","±1,804","11.3%","±1.1","34,290","±2,149","11.1%","±0.7","52,894","±3,878","12.4%","±0.9","35,548","±2,679","13.9%","±1.0","193,421","±7,674","13.0%","±0.5","37,906","±2,693","12.0%","±0.8","297,063","±8,135","11.8%","±0.3","200,554","±6,322","12.2%","±0.4","11,326","±1,478","11.3%","±1.4","263,751","±8,012","12.6%","±0.4","63,967","±3,268","11.0%","±0.5","87,859","±4,532","13.4%","±0.7","273,052","±8,120","12.7%","±0.3","24,949","±2,392","14.0%","±1.3","86,211","±4,365","11.4%","±0.5","15,426","±1,835","12.2%","±1.4","126,412","±5,124","12.2%","±0.4","407,619","±10,369","11.8%","±0.3","63,325","±3,789","13.9%","±0.8","16,980","±1,446","14.1%","±1.2","200,165","±7,059","13.8%","±0.5","163,094","±5,365","13.7%","±0.4","26,798","±2,133","9.8%","±0.7","145,190","±4,326","13.7%","±0.4","10,860","±1,460","11.6%","±1.6","44,640","±3,847","12.5%","±1.0"
"    30.0 to 34.9 percent","58,183","±3,319","7.6%","±0.4","10,787","±1,635","9.6%","±1.4","98,588","±5,351","9.3%","±0.5","30,391","±2,590","7.0%","±0.6","535,139","±12,390","10.4%","±0.2","88,216","±3,977","9.1%","±0.4","66,031","±3,365","10.0%","±0.5","16,183","±1,899","9.5%","±1.1","5,422","±1,116","6.6%","±1.4","287,109","±8,144","9.5%","±0.3","143,781","±6,609","8.8%","±0.4","17,154","±2,166","9.8%","±1.3","27,018","±2,368","9.8%","±0.8","208,670","±6,646","9.4%","±0.3","91,430","±4,507","7.5%","±0.4","36,912","±2,368","6.7%","±0.4","36,124","±3,067","7.6%","±0.6","56,349","±3,844","7.9%","±0.5","42,890","±3,238","6.8%","±0.5","22,208","±2,079","8.6%","±0.8","103,216","±4,643","9.5%","±0.4","103,900","±4,959","9.2%","±0.4","155,106","±4,749","8.5%","±0.3","98,608","±3,680","9.2%","±0.4","33,321","±2,755","8.2%","±0.7","83,020","±5,101","7.8%","±0.5","13,001","±1,645","7.9%","±1.0","21,716","±2,102","7.0%","±0.7","41,888","±3,166","9.8%","±0.7","25,174","±2,649","9.8%","±1.0","152,162","±5,118","10.2%","±0.4","26,802","±2,668","8.5%","±0.8","222,969","±6,810","8.8%","±0.3","134,339","±5,396","8.1%","±0.3","6,483","±1,112","6.5%","±1.1","174,758","±6,111","8.3%","±0.3","42,677","±3,284","7.3%","±0.6","70,140","±3,875","10.7%","±0.5","182,504","±6,379","8.5%","±0.3","16,461","±1,810","9.3%","±1.0","57,865","±3,492","7.7%","±0.5","11,150","±1,389","8.8%","±1.1","84,764","±4,654","8.2%","±0.4","274,179","±8,659","7.9%","±0.2","43,930","±2,761","9.6%","±0.6","12,742","±1,594","10.6%","±1.2","141,616","±5,559","9.8%","±0.4","126,641","±5,388","10.7%","±0.4","19,232","±2,152","7.0%","±0.8","91,711","±3,818","8.6%","±0.4","7,637","±1,594","8.2%","±1.6","37,386","±3,083","10.4%","±0.8"
"    35.0 percent or more","193,705","±5,502","25.2%","±0.7","25,384","±1,697","22.6%","±1.5","336,472","±8,565","31.9%","±0.8","88,416","±4,155","20.5%","±0.9","2,105,731","±21,104","40.9%","±0.4","275,800","±7,294","28.5%","±0.6","206,294","±5,622","31.4%","±0.8","47,269","±3,014","27.8%","±1.7","23,892","±2,516","29.1%","±2.6","1,194,068","±18,077","39.3%","±0.5","478,432","±9,216","29.4%","±0.5","70,402","±4,303","40.4%","±2.0","73,880","±3,700","26.9%","±1.3","673,390","±10,520","30.4%","±0.4","242,260","±7,065","20.0%","±0.6","99,568","±4,914","18.1%","±0.8","90,657","±3,688","19.0%","±0.7","159,447","±5,362","22.3%","±0.7","148,712","±6,315","23.5%","±0.9","65,144","±3,463","25.3%","±1.2","311,197","±8,752","28.6%","±0.7","337,017","±7,104","29.9%","±0.6","507,389","±10,308","27.9%","±0.5","260,197","±6,886","24.2%","±0.6","111,203","±5,360","27.2%","±1.2","238,839","±7,309","22.4%","±0.6","46,425","±3,583","28.2%","±1.9","58,589","±3,383","19.0%","±1.0","150,514","±7,591","35.3%","±1.4","77,632","±4,045","30.3%","±1.3","543,876","±9,867","36.5%","±0.5","86,594","±4,227","27.5%","±1.2","822,994","±11,405","32.6%","±0.4","433,980","±11,110","26.3%","±0.6","12,617","±1,731","12.6%","±1.6","493,652","±8,984","23.6%","±0.4","125,179","±5,293","21.5%","±0.8","210,698","±5,950","32.1%","±0.8","535,574","±10,688","24.8%","±0.5","61,089","±3,802","34.4%","±1.7","199,276","±7,272","26.4%","±0.8","21,104","±2,243","16.7%","±1.7","260,811","±8,939","25.1%","±0.8","854,554","±14,033","24.7%","±0.4","117,943","±4,400","25.9%","±0.9","34,062","±1,861","28.2%","±1.5","368,717","±9,058","25.4%","±0.6","359,117","±7,884","30.3%","±0.6","50,913","±2,971","18.6%","±1.0","272,736","±7,365","25.7%","±0.6","18,579","±2,234","19.9%","±2.2","137,006","±5,327","38.3%","±1.1"
"    Not computed","5,077","±1,165","(X)","(X)","198","±216","(X)","(X)","8,636","±1,593","(X)","(X)","1,884","±795","(X)","(X)","30,464","±3,075","(X)","(X)","5,753","±1,137","(X)","(X)","2,574","±947","(X)","(X)","542","±325","(X)","(X)","688","±342","(X)","(X)","29,754","±3,050","(X)","(X)","11,785","±1,837","(X)","(X)","773","±413","(X)","(X)","1,395","±648","(X)","(X)","8,703","±1,601","(X)","(X)","4,710","±1,199","(X)","(X)","1,874","±626","(X)","(X)","1,847","±652","(X)","(X)","3,200","±772","(X)","(X)","3,060","±1,021","(X)","(X)","867","±409","(X)","(X)","3,685","±1,020","(X)","(X)","5,350","±1,225","(X)","(X)","9,724","±1,832","(X)","(X)","2,510","±710","(X)","(X)","2,570","±917","(X)","(X)","2,928","±723","(X)","(X)","947","±413","(X)","(X)","454","±232","(X)","(X)","4,005","±1,041","(X)","(X)","1,161","±448","(X)","(X)","6,031","±1,320","(X)","(X)","1,366","±562","(X)","(X)","10,727","±1,916","(X)","(X)","8,169","±1,581","(X)","(X)","89","±115","(X)","(X)","8,008","±1,297","(X)","(X)","2,503","±852","(X)","(X)","3,170","±946","(X)","(X)","11,254","±2,155","(X)","(X)","649","±403","(X)","(X)","4,653","±1,071","(X)","(X)","586","±356","(X)","(X)","5,993","±1,473","(X)","(X)","18,003","±2,156","(X)","(X)","1,320","±485","(X)","(X)","608","±377","(X)","(X)","6,586","±1,305","(X)","(X)","6,228","±1,617","(X)","(X)","976","±505","(X)","(X)","2,662","±660","(X)","(X)","22","±39","(X)","(X)","4,309","±1,004","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","489,741","±9,768","489,741","(X)","49,984","±2,613","49,984","(X)","449,156","±8,627","449,156","(X)","314,004","±6,844","314,004","(X)","1,696,448","±18,848","1,696,448","(X)","314,452","±6,695","314,452","(X)","260,970","±6,236","260,970","(X)","68,472","±2,726","68,472","(X)","24,200","±1,623","24,200","(X)","1,697,062","±15,174","1,697,062","(X)","653,043","±10,458","653,043","(X)","81,602","±3,126","81,602","(X)","124,588","±4,339","124,588","(X)","984,283","±12,770","984,283","(X)","513,658","±8,504","513,658","(X)","329,644","±6,063","329,644","(X)","267,092","±5,157","267,092","(X)","434,579","±8,160","434,579","(X)","497,167","±9,251","497,167","(X)","137,266","±3,531","137,266","(X)","331,952","±6,684","331,952","(X)","432,407","±7,694","432,407","(X)","928,810","±11,893","928,810","(X)","447,023","±6,489","447,023","(X)","335,219","±6,999","335,219","(X)","547,261","±8,030","547,261","(X)","114,437","±3,359","114,437","(X)","173,635","±4,240","173,635","(X)","133,809","±4,986","133,809","(X)","111,010","±3,799","111,010","(X)","605,433","±9,374","605,433","(X)","201,297","±6,450","201,297","(X)","1,353,543","±13,471","1,353,543","(X)","797,708","±11,112","797,708","(X)","86,777","±2,470","86,777","(X)","985,067","±11,150","985,067","(X)","381,155","±7,923","381,155","(X)","280,962","±5,961","280,962","(X)","1,279,587","±13,643","1,279,587","(X)","64,943","±2,676","64,943","(X)","442,898","±7,545","442,898","(X)","89,266","±3,030","89,266","(X)","611,179","±10,005","611,179","(X)","2,055,733","±19,757","2,055,733","(X)","156,315","±4,387","156,315","(X)","58,371","±2,616","58,371","(X)","561,145","±9,211","561,145","(X)","447,769","±7,851","447,769","(X)","275,105","±5,795","275,105","(X)","497,659","±7,311","497,659","(X)","61,220","±2,843","61,220","(X)","537,606","±7,458","537,606","(X)"
"    Less than 10.0 percent","197,932","±7,351","40.4%","±1.1","23,533","±2,148","47.1%","±3.1","201,472","±6,550","44.9%","±1.2","145,569","±5,987","46.4%","±1.5","762,540","±12,953","44.9%","±0.6","149,497","±4,945","47.5%","±1.2","60,917","±3,177","23.3%","±1.1","29,677","±2,246","43.3%","±2.6","11,184","±1,107","46.2%","±3.9","557,024","±9,706","32.8%","±0.5","265,312","±7,224","40.6%","±1.0","40,568","±2,753","49.7%","±2.4","59,515","±3,213","47.8%","±2.1","327,160","±7,801","33.2%","±0.7","235,783","±6,283","45.9%","±1.0","142,945","±3,581","43.4%","±1.0","113,600","±4,284","42.5%","±1.2","194,681","±5,871","44.8%","±1.0","239,628","±6,751","48.2%","±1.0","44,922","±2,162","32.7%","±1.5","128,631","±5,249","38.7%","±1.2","130,655","±4,993","30.2%","±1.0","312,476","±7,385","33.6%","±0.7","188,306","±4,374","42.1%","±0.7","140,219","±6,102","41.8%","±1.5","233,341","±6,203","42.6%","±0.9","50,957","±2,900","44.5%","±2.1","66,195","±2,685","38.1%","±1.3","55,403","±2,930","41.4%","±1.9","27,076","±2,488","24.4%","±2.1","123,789","±5,392","20.4%","±0.8","104,331","±4,552","51.8%","±1.7","398,307","±8,410","29.4%","±0.6","318,773","±9,217","40.0%","±0.9","44,205","±2,314","50.9%","±2.0","358,061","±7,373","36.3%","±0.6","172,763","±5,733","45.3%","±1.2","105,304","±4,191","37.5%","±1.1","447,146","±8,570","34.9%","±0.6","18,447","±1,674","28.4%","±2.2","186,285","±5,650","42.1%","±1.1","41,517","±2,473","46.5%","±2.2","269,640","±7,554","44.1%","±0.9","805,539","±13,426","39.2%","±0.5","87,634","±3,862","56.1%","±1.7","14,859","±1,309","25.5%","±2.0","248,018","±6,952","44.2%","±0.9","182,266","±5,415","40.7%","±1.0","140,509","±5,118","51.1%","±1.5","159,139","±4,212","32.0%","±0.6","33,338","±2,290","54.5%","±2.8","271,948","±5,408","50.6%","±0.9"
"    10.0 to 14.9 percent","99,949","±4,675","20.4%","±0.9","8,970","±1,285","17.9%","±2.5","86,744","±3,762","19.3%","±0.8","62,757","±3,408","20.0%","±1.0","310,072","±8,342","18.3%","±0.4","58,821","±3,239","18.7%","±1.0","48,947","±2,741","18.8%","±1.0","12,780","±1,559","18.7%","±2.1","4,422","±816","18.3%","±3.0","334,328","±7,996","19.7%","±0.4","133,256","±6,192","20.4%","±0.9","15,716","±1,489","19.3%","±1.9","24,595","±2,302","19.7%","±1.7","214,572","±6,339","21.8%","±0.5","105,230","±4,404","20.5%","±0.8","71,345","±3,127","21.6%","±0.8","55,947","±2,897","20.9%","±1.0","89,722","±4,278","20.6%","±0.9","92,478","±4,023","18.6%","±0.7","30,311","±2,276","22.1%","±1.5","64,539","±3,617","19.4%","±1.0","82,058","±3,588","19.0%","±0.8","194,758","±6,442","21.0%","±0.6","92,723","±3,065","20.7%","±0.6","67,524","±3,955","20.1%","±1.1","118,737","±4,509","21.7%","±0.8","23,246","±1,925","20.3%","±1.7","39,614","±2,597","22.8%","±1.3","25,825","±2,597","19.3%","±1.7","23,467","±2,054","21.1%","±1.7","110,726","±4,619","18.3%","±0.7","36,997","±3,463","18.4%","±1.5","261,622","±6,633","19.3%","±0.5","159,080","±6,321","19.9%","±0.8","15,228","±1,549","17.5%","±1.7","219,625","±6,400","22.3%","±0.6","77,122","±3,687","20.2%","±0.9","60,487","±3,253","21.5%","±1.1","263,211","±7,979","20.6%","±0.6","13,378","±1,466","20.6%","±2.1","86,103","±4,415","19.4%","±0.9","17,579","±1,650","19.7%","±1.7","125,564","±4,843","20.5%","±0.8","442,280","±9,836","21.5%","±0.4","27,549","±2,166","17.6%","±1.3","11,912","±1,403","20.4%","±2.1","113,421","±4,708","20.2%","±0.8","97,265","±4,223","21.7%","±0.9","54,687","±3,124","19.9%","±1.0","112,583","±3,517","22.6%","±0.6","11,023","±1,353","18.0%","±2.0","100,110","±4,162","18.6%","±0.7"
"    15.0 to 19.9 percent","58,447","±3,665","11.9%","±0.7","5,437","±908","10.9%","±1.8","52,702","±3,486","11.7%","±0.7","36,607","±3,011","11.7%","±0.9","178,691","±4,994","10.5%","±0.3","34,419","±2,775","10.9%","±0.8","39,292","±2,409","15.1%","±0.9","8,152","±1,040","11.9%","±1.5","2,712","±670","11.2%","±2.7","226,617","±6,379","13.4%","±0.4","77,638","±4,261","11.9%","±0.6","8,868","±1,452","10.9%","±1.7","13,460","±1,782","10.8%","±1.3","135,690","±4,941","13.8%","±0.5","58,450","±2,860","11.4%","±0.5","38,074","±2,667","11.6%","±0.8","32,121","±2,224","12.0%","±0.8","49,663","±3,030","11.4%","±0.7","51,353","±3,332","10.3%","±0.6","19,360","±1,693","14.1%","±1.2","40,426","±2,731","12.2%","±0.8","59,662","±3,477","13.8%","±0.8","129,384","±4,953","13.9%","±0.5","51,714","±2,417","11.6%","±0.6","39,332","±2,889","11.7%","±0.8","66,177","±3,103","12.1%","±0.5","14,415","±1,532","12.6%","±1.3","23,131","±1,738","13.3%","±0.9","14,691","±1,807","11.0%","±1.3","16,583","±1,612","14.9%","±1.5","87,872","±4,433","14.5%","±0.7","19,324","±2,155","9.6%","±1.0","181,429","±6,439","13.4%","±0.4","97,979","±4,940","12.3%","±0.6","9,067","±1,280","10.4%","±1.4","133,434","±4,930","13.5%","±0.5","45,200","±3,118","11.9%","±0.8","39,829","±2,984","14.2%","±1.0","173,862","±5,574","13.6%","±0.4","7,212","±1,259","11.1%","±1.9","54,764","±3,744","12.4%","±0.8","9,109","±1,163","10.2%","±1.2","72,853","±3,498","11.9%","±0.5","260,514","±7,159","12.7%","±0.3","14,652","±1,555","9.4%","±1.0","9,048","±982","15.5%","±1.7","68,096","±3,865","12.1%","±0.7","53,704","±2,940","12.0%","±0.6","29,179","±2,793","10.6%","±1.0","70,208","±2,979","14.1%","±0.6","6,383","±1,035","10.4%","±1.8","51,655","±3,760","9.6%","±0.7"
"    20.0 to 24.9 percent","36,099","±2,633","7.4%","±0.5","2,977","±746","6.0%","±1.5","32,891","±2,454","7.3%","±0.5","22,241","±2,187","7.1%","±0.7","113,513","±5,648","6.7%","±0.3","20,819","±2,004","6.6%","±0.6","25,435","±2,150","9.7%","±0.8","4,879","±1,100","7.1%","±1.6","1,498","±498","6.2%","±2.0","143,823","±4,825","8.5%","±0.3","44,702","±2,972","6.8%","±0.4","4,409","±846","5.4%","±1.0","7,403","±1,299","5.9%","±1.0","84,391","±3,833","8.6%","±0.4","36,202","±3,028","7.0%","±0.6","24,216","±2,076","7.3%","±0.6","19,188","±1,629","7.2%","±0.6","31,631","±2,714","7.3%","±0.6","32,810","±2,664","6.6%","±0.5","10,867","±1,441","7.9%","±1.1","26,669","±2,651","8.0%","±0.8","38,843","±2,345","9.0%","±0.5","80,480","±3,620","8.7%","±0.4","33,192","±2,162","7.4%","±0.5","23,278","±2,248","6.9%","±0.7","37,881","±2,503","6.9%","±0.5","7,788","±1,173","6.8%","±1.0","14,342","±1,628","8.3%","±0.9","10,343","±1,573","7.7%","±1.1","10,652","±1,416","9.6%","±1.3","60,010","±3,373","9.9%","±0.5","9,909","±1,414","4.9%","±0.7","125,120","±4,380","9.2%","±0.3","61,054","±3,970","7.7%","±0.5","5,917","±1,113","6.8%","±1.3","82,745","±3,557","8.4%","±0.3","26,721","±2,067","7.0%","±0.5","20,825","±2,172","7.4%","±0.7","109,835","±4,566","8.6%","±0.3","5,877","±905","9.0%","±1.3","32,692","±2,657","7.4%","±0.6","6,255","±1,039","7.0%","±1.2","43,854","±2,585","7.2%","±0.4","161,389","±5,967","7.9%","±0.3","9,118","±1,311","5.8%","±0.8","5,300","±728","9.1%","±1.2","36,092","±3,049","6.4%","±0.5","31,674","±2,634","7.1%","±0.6","17,256","±1,972","6.3%","±0.7","46,834","±2,361","9.4%","±0.4","2,998","±660","4.9%","±1.0","33,330","±2,685","6.2%","±0.5"
"    25.0 to 29.9 percent","23,871","±2,504","4.9%","±0.5","2,379","±648","4.8%","±1.3","19,450","±2,235","4.3%","±0.5","12,513","±1,560","4.0%","±0.5","72,810","±3,931","4.3%","±0.2","12,929","±1,560","4.1%","±0.5","19,765","±1,923","7.6%","±0.8","2,552","±646","3.7%","±0.9","657","±325","2.7%","±1.3","101,633","±4,893","6.0%","±0.3","32,038","±2,739","4.9%","±0.4","1,907","±547","2.3%","±0.7","4,560","±875","3.7%","±0.7","56,587","±3,406","5.7%","±0.3","21,705","±2,162","4.2%","±0.4","15,139","±1,377","4.6%","±0.4","13,111","±1,533","4.9%","±0.6","19,215","±1,769","4.4%","±0.4","21,524","±2,426","4.3%","±0.5","7,782","±1,153","5.7%","±0.8","16,721","±1,844","5.0%","±0.5","26,984","±2,265","6.2%","±0.5","53,093","±2,626","5.7%","±0.3","20,573","±1,797","4.6%","±0.4","18,521","±1,963","5.5%","±0.6","24,176","±1,879","4.4%","±0.3","4,640","±825","4.1%","±0.7","8,729","±1,126","5.0%","±0.6","6,844","±1,344","5.1%","±1.0","7,736","±1,272","7.0%","±1.1","43,228","±2,880","7.1%","±0.5","8,521","±1,371","4.2%","±0.7","87,381","±4,475","6.5%","±0.3","41,025","±2,971","5.1%","±0.4","3,063","±500","3.5%","±0.6","51,086","±3,338","5.2%","±0.3","15,450","±1,739","4.1%","±0.4","13,659","±1,691","4.9%","±0.6","76,733","±4,149","6.0%","±0.3","4,802","±923","7.4%","±1.4","20,645","±2,110","4.7%","±0.5","3,894","±768","4.4%","±0.9","26,848","±2,423","4.4%","±0.4","102,791","±4,368","5.0%","±0.2","5,078","±891","3.2%","±0.6","4,489","±824","7.7%","±1.4","26,315","±2,234","4.7%","±0.4","21,104","±2,172","4.7%","±0.5","9,556","±1,535","3.5%","±0.6","30,129","±1,894","6.1%","±0.4","2,370","±667","3.9%","±1.1","19,592","±1,880","3.6%","±0.3"
"    30.0 to 34.9 percent","19,532","±2,023","4.0%","±0.4","1,587","±550","3.2%","±1.1","12,341","±1,780","2.7%","±0.4","8,283","±1,153","2.6%","±0.4","58,662","±3,205","3.5%","±0.2","9,432","±1,657","3.0%","±0.5","14,635","±1,385","5.6%","±0.5","2,305","±549","3.4%","±0.8","673","±278","2.8%","±1.2","67,907","±3,776","4.0%","±0.2","22,421","±2,303","3.4%","±0.4","2,180","±683","2.7%","±0.8","3,675","±889","2.9%","±0.7","37,718","±2,658","3.8%","±0.3","15,485","±1,829","3.0%","±0.4","10,727","±1,443","3.3%","±0.4","8,448","±1,058","3.2%","±0.4","11,795","±1,492","2.7%","±0.3","14,506","±2,190","2.9%","±0.4","5,561","±938","4.1%","±0.7","11,943","±1,577","3.6%","±0.5","20,646","±2,256","4.8%","±0.5","35,281","±2,551","3.8%","±0.3","14,965","±1,587","3.3%","±0.3","11,821","±1,596","3.5%","±0.5","15,480","±1,824","2.8%","±0.3","3,332","±790","2.9%","±0.7","5,508","±756","3.2%","±0.4","3,850","±832","2.9%","±0.6","5,159","±983","4.6%","±0.9","34,536","±2,711","5.7%","±0.5","4,147","±1,015","2.1%","±0.5","60,140","±3,969","4.4%","±0.3","25,379","±2,325","3.2%","±0.3","2,432","±561","2.8%","±0.7","35,327","±2,541","3.6%","±0.3","11,361","±1,505","3.0%","±0.4","9,725","±1,300","3.5%","±0.5","49,759","±2,528","3.9%","±0.2","3,472","±872","5.3%","±1.3","12,728","±1,751","2.9%","±0.4","2,801","±689","3.1%","±0.8","17,936","±2,082","2.9%","±0.3","66,455","±3,805","3.2%","±0.2","2,919","±645","1.9%","±0.4","1,972","±471","3.4%","±0.8","15,756","±1,659","2.8%","±0.3","13,546","±1,532","3.0%","±0.3","5,609","±1,219","2.0%","±0.4","19,748","±1,713","4.0%","±0.3","1,426","±479","2.3%","±0.8","11,775","±1,504","2.2%","±0.3"
"    35.0 percent or more","53,911","±3,523","11.0%","±0.7","5,101","±1,093","10.2%","±2.0","43,556","±3,307","9.7%","±0.7","26,034","±2,445","8.3%","±0.8","200,160","±6,840","11.8%","±0.4","28,535","±2,359","9.1%","±0.7","51,979","±3,497","19.9%","±1.1","8,127","±1,279","11.9%","±1.9","3,054","±806","12.6%","±3.2","265,730","±7,886","15.7%","±0.4","77,676","±3,643","11.9%","±0.5","7,954","±1,335","9.7%","±1.6","11,380","±1,608","9.1%","±1.3","128,165","±5,174","13.0%","±0.5","40,803","±3,085","7.9%","±0.6","27,198","±2,087","8.3%","±0.6","24,677","±1,856","9.2%","±0.7","37,872","±2,555","8.7%","±0.6","44,868","±3,371","9.0%","±0.6","18,463","±1,618","13.5%","±1.1","43,023","±2,789","13.0%","±0.9","73,559","±3,646","17.0%","±0.8","123,338","±5,014","13.3%","±0.5","45,550","±2,525","10.2%","±0.5","34,524","±2,834","10.3%","±0.8","51,469","±2,961","9.4%","±0.5","10,059","±1,149","8.8%","±1.0","16,116","±1,300","9.3%","±0.7","16,853","±1,996","12.6%","±1.4","20,337","±2,299","18.3%","±1.9","145,272","±5,253","24.0%","±0.8","18,068","±1,942","9.0%","±0.9","239,544","±7,135","17.7%","±0.5","94,418","±4,586","11.8%","±0.6","6,865","±860","7.9%","±1.0","104,789","±4,596","10.6%","±0.5","32,538","±2,541","8.5%","±0.6","31,133","±2,475","11.1%","±0.9","159,041","±5,197","12.4%","±0.4","11,755","±1,521","18.1%","±2.2","49,681","±3,321","11.2%","±0.7","8,111","±1,108","9.1%","±1.2","54,484","±3,418","8.9%","±0.5","216,765","±6,045","10.5%","±0.3","9,365","±1,319","6.0%","±0.8","10,791","±1,167","18.5%","±1.7","53,447","±3,165","9.5%","±0.5","48,210","±3,109","10.8%","±0.6","18,309","±2,001","6.7%","±0.7","59,018","±2,906","11.9%","±0.6","3,682","±885","6.0%","±1.4","49,196","±2,924","9.2%","±0.5"
"    Not computed","8,697","±1,375","(X)","(X)","142","±125","(X)","(X)","8,779","±1,525","(X)","(X)","4,346","±1,014","(X)","(X)","23,173","±2,275","(X)","(X)","3,575","±827","(X)","(X)","2,590","±890","(X)","(X)","565","±270","(X)","(X)","335","±329","(X)","(X)","32,113","±2,993","(X)","(X)","11,276","±2,016","(X)","(X)","1,793","±633","(X)","(X)","1,019","±406","(X)","(X)","11,385","±1,683","(X)","(X)","4,641","±1,063","(X)","(X)","2,585","±598","(X)","(X)","2,625","±829","(X)","(X)","3,852","±1,090","(X)","(X)","7,154","±1,279","(X)","(X)","1,104","±502","(X)","(X)","3,539","±993","(X)","(X)","3,974","±1,086","(X)","(X)","12,618","±1,395","(X)","(X)","3,570","±980","(X)","(X)","7,044","±1,440","(X)","(X)","6,245","±1,347","(X)","(X)","635","±264","(X)","(X)","1,540","±520","(X)","(X)","2,076","±735","(X)","(X)","1,318","±657","(X)","(X)","4,667","±1,076","(X)","(X)","2,266","±786","(X)","(X)","13,447","±1,864","(X)","(X)","11,051","±1,512","(X)","(X)","601","±293","(X)","(X)","8,565","±1,338","(X)","(X)","4,861","±1,126","(X)","(X)","2,515","±708","(X)","(X)","13,036","±1,523","(X)","(X)","1,201","±549","(X)","(X)","6,480","±1,272","(X)","(X)","613","±239","(X)","(X)","8,240","±1,406","(X)","(X)","24,896","±2,607","(X)","(X)","1,729","±684","(X)","(X)","1,153","±488","(X)","(X)","5,651","±1,278","(X)","(X)","4,405","±1,060","(X)","(X)","3,346","±834","(X)","(X)","4,200","±719","(X)","(X)","535","±401","(X)","(X)","30,066","±2,605","(X)","(X)"
